name,poi,playfield,trader sells,trader buys,required items,restock (minutes)
Eden_UCHSchematics,"UCH Research Vessel,UCHN Artemis,UCHN Discovery,
UCHN Explorer,UCHN Odyssey,UCHN Pathfinder","Hades Orbit,Orbit,Space,
UCH Research Vessel","Buy & sell: 2-2,0-0
Schematic - LX-2 Prototype Light Railgun: 9-11,2-4
Schematic - MX-4 Rapid Torpedo Launcher: 9-11,2-4
Schematic - Sentinel Flak Turret: 9-11,2-4
Sell to trader: 2-2,0-0","Buy & sell: 1-1,1-1
Schematic - Advanced Bandages: 1.1-1.3,5-25
Schematic - Advanced Nanite Injectors: 1.1-1.3,5-25
Schematic - Appleseed Brews: 1.1-1.3,5-25
Schematic - Automated Industrial Mining Rig: 1.1-1.3,5-25
Schematic - Heavy Blaster Cannon: 1.1-1.3,5-25
Schematic - Heavy Railgun Turret: 1.1-1.3,5-25
Schematic - Ice Mining Drills: 1.1-1.3,5-25
Schematic - Incendiary Minigun: 1.1-1.3,5-25
Schematic - LX-2 Prototype Light Railgun: 0.9-1.1,5-25
Schematic - Large Vulcan Turret: 1.1-1.3,5-25
Schematic - MX-4 Rapid Torpedo Launcher: 0.9-1.1,5-25
Schematic - Nanite Injectors: 1.1-1.3,5-25
Schematic - Rich Asteroid Mining Drills: 1.1-1.3,5-25
Schematic - Sentinel Flak Turret: 0.9-1.1,5-25
Schematic - Small Vulcan Turret: 1.1-1.3,5-25
Sell to trader: 1-1,1-1",,180
Exploration Trader,"UCH Research Vessel,UCHN Artemis,UCHN Discovery,
UCHN Explorer,UCHN Odyssey,UCHN Pathfinder","Hades Orbit,Orbit,Space,
UCH Research Vessel","Advanced System Survey Probe: 1.1-1.4,4-8
Basic System Survey Probe: 1.1-1.4,10-25
Buy & sell: 2-2,0-0
High-Tech System Survey Probe: 1.1-1.4,2-5
Sell to trader: 2-2,0-0
Standard System Survey Probe: 1.1-1.4,5-10","Advanced System Survey Probe: 0.3-0.4,10-15
Basic System Survey Probe: 0.3-0.4,30-40
Buy & sell: 1-1,1-1
Exploration Report Tier 1: 1-1,25000-25000
Exploration Report Tier 2: 1-1,25000-25000
Exploration Report Tier 3: 1-1,25000-25000
High-Tech System Survey Probe: 0.3-0.4,6-12
Sell to trader: 1-1,1-1
Standard System Survey Probe: 0.3-0.4,15-30
Tier 1 Expedition Report: 1-1,25000-25000
Tier 2 Expedition Report: 1-1,25000-25000
Tier 3 Expedition Report: 1-1,25000-25000
Tier 4 Expedition Report: 1-1,25000-25000",,180
FactoryAdvanced,Advanced Factory,"Asteroid Field,Orbit,Station","Advanced Constructor: 0.8-0.9,0-6
Deconstructor: 0.8-0.9,0-4
Drill Module - Laser: 0.8-0.9,3-6
Furnace: 0.8-0.9,0-4
Large Constructor: 0.8-0.9,0-8
Large Optronic Bridge: 0.8-0.9,1-3
Laser Drill Module: 0.8-0.9,6-12
Mechanical Drill Module: 0.8-0.9,30-40
Plasma Coil: 0.8-0.9,1-4
Small Constructor: 0.8-0.9,0-8
Small Optronic Bridge: 0.8-0.9,1-2
Small Thruster: 0.8-0.9,4-8
Small Thruster: 0.8-0.9,6-10
Small Thruster: 0.8-0.9,6-8
Tool Turrets: 0.8-0.9,2-4
Toxic Waste: 0.4-0.5,50-500","Advanced Electronics: 1.1-1.3,50-500
Advanced Factory Construction Unit: 1.1-1.2,1-3
Basic Factory Construction Unit: 1.1-1.2,2-6
Electronics: 1.1-1.3,100-500
Energy Regulator: 1.1-1.3,100-500
Flux coil: 1.1-1.3,100-500
High-Output Capacitor: 1.1-1.3,100-500
Motor: 1.1-1.3,100-500
Optical Fiber: 1.1-1.3,100-500
Plastic Tubes: 1.1-1.3,1000-5000
Power Coil: 1.1-1.3,100-500
Robotics: 1.1-1.12,75-125",,180
FactoryBiofuel,Biofuel Plant,"AridStarter,Elder Barren,Ice,
Irradiated,LavaNascent,Mire,
MoonPolarisTesting,Odd Temperate Starter,Pummeled Desert,
Sandy Barren Moon,SnowStarter,TemperateStarter,
TemperateStarter2","Biofuel: 0.7-0.8,2000-5000","Corn: 1.1-1.3,5000-5000
Plant fibers: 1.1-1.3,10000-10000
Spoiled food: 1.1-1.3,10000-10000
Sugarcane: 1.1-1.3,750-900",,180
FactoryComponentsT1,Basic Component Factory,"Asteroid Field,Orbit,Station","Computer: 0.7-0.8,100-1000
Electronics: 0.7-0.8,100-1000
Energy Regulator: 0.7-0.8,100-1000
Motor: 0.7-0.8,100-1000
Optical Fiber: 0.7-0.8,100-1000
Plastic Tubes: 0.7-0.8,100-1000
Toxic Waste: 0.5-0.6,50-500","Copper ingot: 1.1-1.3,3500-7500
Iron Ingot: 1.1-1.3,5000-10000
Mechanical Components: 1.1-1.3,5000-10000
Silicon ingot: 1.1-1.3,3500-7500
Steel plate: 1.1-1.3,5000-10000",,180
FactoryComponentsT2,"Advanced Component Factory,Main Trade Hub","Asteroid Field,Orbit,Station","Advanced Electronics: 0.7-0.9,50-200
Flux coil: 0.7-0.9,50-200
High-Output Capacitor: 0.7-0.9,50-200
Power Coil: 0.7-0.9,15-30
Toxic Waste: 0.5-0.6,50-500","Cobalt ingot: 1.1-1.3,5000-10000
Computer: 1.1-1.3,100-500
Energy Regulator: 1.1-1.3,100-500
Erestrum ingot: 1.1-1.3,3500-7500
Motor: 1.1-1.3,100-500
Neodymium ingot: 1.1-1.3,3500-7500
Plastic Tubes: 1.1-1.3,1000-5000",,60
FactoryFarm,"Farm,Offworld Farm","Farr Homeworld Orbit,Ice,Orbit,
Station","Ahax fruit: 0.7-0.8,500-1000
Berries: 0.7-0.8,150-300
Corn: 1-2,500-600
Fruit: 0.7-0.8,200-400
Plant Protein: 0.7-0.8,150-300
Space Orange: 1-2,100-600
Spice: 0.7-0.8,100-125","Fertilizer: 1.1-1.3,300-500
Hydroponics Lamp: 1.1-1.3,250-500
Hydroponics Unit (Steel): 1.1-1.3,500-2000
Nutrient solution: 1.1-1.3,500-1000
Purified water: 1.1-1.3,5000-10000",,180
FactoryFood,Food Factory,"Farr Homeworld Orbit,Orbit,Station","Canned meat: 0.7-0.8,25-50
Canned vegetables: 0.7-0.8,25-50
Cheeseburger: 0.7-0.8,25-50
Emergency rations: 0.7-0.8,30-80
Veggie burger: 0.7-0.8,25-50
Waffles: 0.7-0.8,25-50","Ahax fruit: 1.1-1.3,10000-10000
Berries: 1.1-1.3,100-400
Corn: 1.1-1.3,10000-10000
Fruit: 1.1-1.3,100-400
Meat: 1.1-1.3,100-400
Space Orange: 1.1-1.3,10000-10000
Spice: 1.1-1.3,100-200",,180
FactoryLuxury,Luxury Goods Trader,"Farr Homeworld Orbit,Orbit,Station","Luxury Goods: 0.7-0.8,30-80","Gold Ingot: 1.1-1.3,250-500
Leather: 1.1-1.3,250-500
Raw Diamond: 1.1-1.3,25-100",,180
FactoryOptronics,Optronics Factory,"Asteroid Field,Orbit,Station","Basic Factory Construction Unit: 0.8-0.9,4-12
Large Optronic Bridge: 0.8-0.9,2-5
Large Optronic Matrix: 0.8-0.9,2-5
Optronics: 0.85-0.9,100-300
Small Optronic Bridge: 0.8-0.9,2-5
Small Optronic Matrix: 0.8-0.9,2-5
Toxic Waste: 0.5-0.6,50-500","Copper ingot: 1.1-1.3,1500-2500
Energy Regulator: 1.1-1.3,1500-2500
Glass Plate: 1.1-1.3,1500-2500
Optical Fiber: 1.1-1.3,10000-10000
Raw Diamond: 1.1-1.3,25-50",,180
FactoryRobotics,Robotics Factory,"Asteroid Field,Orbit,Station","Advanced Factory Construction Unit: 0.8-0.9,0-3
Basic Factory Construction Unit: 0.8-0.9,4-12
Robotics: 0.88-0.9,10-30
Small Optronic Bridge: 0.8-0.9,1-2
Toxic Waste: 0.5-0.6,50-500","Advanced Electronics: 1.1-1.3,50-500
Electronics: 1.1-1.3,1500-2500
Flux coil: 1.1-1.3,100-500
High-Output Capacitor: 1.1-1.3,100-500
Motor: 1.1-1.3,1500-2500
Optronics: 1.1-1.15,400-600
Power Coil: 1.1-1.3,100-500",,180
Faeros Metal Extraction,Pumping Station,LavaNascent,"Cobalt ingot: 1.0-1.5,500-2000
Erestrum ingot: 1.0-1.5,250-1500
Gold Ingot: 1.0-1.25,120-250
Neodymium ingot: 1.0-1.5,500-1500
Platinum Ingot: 1.0-1.5,80-160
Raw Diamond: 1.0-1.5,50-100
Zascosium ingot: 1.0-1.5,250-1000","Advanced Insulation Booster: 2.5-3.0,10-20
Antibiotic Ointment: 0.75-1.0,150-300
Antibiotic Pills: 0.5-0.75,100-200
Coolant: 1.5-2.0,200-600
Heavy Armor: 0.5-0.75,10-20
Ice Cream: 1.75-2.5,30-60
Insulation Booster: 1.0-1.25,25-50
Trauma Kit: 0.75-1.0,50-100
Water container: 0.65-0.85,300-500",,200
Flight Mechanic,"Advanced Spaceport,Landing Pad A,Landing Pad B,
Outpost,Rusty Barrel,Shuttle Hub,
Sigma Outpost,Spaceport,Trade Station Onyx,
Transport Hub,Waystation Zeta","Alien,Arid,Arid Mesa,
AridStarter,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Crusted Lava,
Crystalline Moon,Desert,DesertBurnt,
Elder Barren,Farr Homeworld Orbit,Glacial Ice,
Ice,Irradiated,Jungle,
Jungle Moon,Lava,LavaNascent,
Legacy,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,MoonStarter,
Nascent,Ocean,Ocean Starter,
Odd Temperate Starter,Orbit,Rocky Desert,
Sandy Barren Moon,Snow,SnowStarter,
SnowStory,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
Varnished Barren Moon,ZiraxHomeworld","Dual Fuel Cell: 0.75-1.0,250-500
Hardened Steel Blocks (Small): 1.0-1.25,140-280
Hydrogen Bottle: 1.0-1.25,80-160
Small Upgrade Kit: 1.25-1.5,2-5
Steel Blocks (Small): 1.0-1.25,200-300","Cockpits: 0.75-1.0,10-30
Large Thruster: 0.5-0.75,30-60
Medium Jet Thruster: 0.5-0.75,8-24
Medium Thrusters: 0.5-0.75,50-80
Small Jet Thruster: 0.5-0.75,10-30
Space Weather Forecast: 4.0-6.5,10-25","Sathium Plates x250,Spare Parts x3
Advanced Large Thruster x5
Robotics x4
Light Shield Generator
Laser Cannon x2",480
Food,"Attonement Station,Bank of Farr,Bloody Bucket Cantina,
Caledon Inc. Outpost,Castle of Farr,Comm Center,
Commons,Communications Tower,Distribution Center,
Droid Factory,Excavation Site,Gas Refinery,
Ghyst Trade Station,Gold refinery,Headquarters,
Karana Trade Station,Members Market,Naval Shipyard,
Orbital Command,Orbital Communications Tower,Oxygen Factory,
Polaris Colony,Radar Station,Raptor Ranch,
Recruitment Centre,Refueling Station,Resupply station,
Settlement,Supply Station,Trade Center,
Trade Station Agate,Trade Station Olivine,Trade Station Pharos,
Trade Station Rho,Trading Station,Transport Hub,
Waystation,Waystation TS04,Xenu Shipyard","Alien,Arid,Arid Mesa,
AridStarter,Asteroid Field,Barren,
Barren Moon,BarrenMetal,Brooding Temperate,
Desert,Desert Oasis,DesertBurnt,
Elder Barren,Farr Homeworld,Farr Homeworld Orbit,
Frozen Inferno,Glacial Ice,Ice,
Irradiated,Jungle,Jungle Moon,
Lava,LavaNascent,Legacy,
Mire,MoonBarren,MoonDesert,
MoonPolarisTesting,Nascent,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
OrbitSectorStart,Pummeled Desert,Rocky Desert,
Sandy Barren Moon,Snow,SnowStory,
Station,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
Tropical,Varnished Barren Moon,White Desert,
Zirax Defense Checkpoint,Zirax Homeworld Orbit,ZiraxHomeworld","Akua Sparkling Wine: 1.0-1.25,10-50
Bread: 1.0-1.25,10-50
Cereal: 1.0-1.25,10-50
Cheese: 1.0-1.25,10-50
Cheeseburger: 1.0-1.25,10-50
Dino stew royal: 1.0-1.25,10-50
Energy Drink: 1.0-1.25,10-50
Fried Vegetables: 1.0-1.25,10-50
Fruit Juice: 1.0-1.25,10-50
Fruit pie: 1.0-1.25,10-50
Grilled steak: 1.0-1.25,10-50
Ham: 1.0-1.25,10-50
Herbal Tea: 1.0-1.25,10-50
Ice Cream: 1.0-1.25,10-50
Milk: 1.0-1.25,10-50
Pizza: 1.0-1.25,10-50
Pumpkin Cookie: 1.0-1.25,10-50
Purified water: 1.0-1.25,10-50
Ratatouille: 1.0-1.25,10-50
Rich Ramen: 1.0-1.25,10-50
Sandwich: 1.0-1.25,10-50
Vegetable Juice: 1.0-1.25,10-50
Veggie burger: 1.0-1.25,10-50
Waffles: 1.0-1.25,10-50","Akua Sparkling Wine: 0.5-0.75,10-50
Bread: 0.5-0.75,10-50
Cereal: 0.5-0.75,10-50
Cheese: 0.5-0.75,10-50
Cheeseburger: 0.5-0.75,10-50
Dino stew royal: 0.5-0.75,10-50
Energy Drink: 0.5-0.75,10-50
Flour: 0.75-0.75,50-200
Fried Vegetables: 0.5-0.75,10-50
Fruit Juice: 0.5-0.75,10-50
Fruit pie: 0.5-0.75,10-50
Fruit: 0.75-0.75,100-300
Grilled steak: 0.5-0.75,10-50
Ham: 0.5-0.75,10-50
Herbal Tea: 0.5-0.75,10-50
Meat: 0.75-0.75,100-300
Milk: 0.5-0.75,10-50
Pizza: 0.5-0.75,10-50
Pumpkin Cookie: 0.5-0.75,10-50
Purified water: 0.5-0.75,10-50
Ratatouille: 0.5-0.75,10-50
Salt: 0.5-0.75,300-2500
Sandwich: 0.5-0.75,10-50
Spice: 0.75-0.75,100-200
Vegetable Juice: 0.5-0.75,10-50
Vegetables: 0.75-0.75,100-400
Veggie burger: 0.5-0.75,10-50
Waffles: 0.5-0.75,10-50",,120
Foundry,Foundry,"Lava,Molten","Steel plate: 0.7-0.9,5000-10000","Iron Ingot: 1.1-1.3,2000-3000",,180
Gold Standard Trading,"Bank of Farr,Bazarr of Farr,Commons,
Croesus Ore Headquarters,Gold refinery,Headquarters,
Members Market,Trade Station","Arid,Arid Mesa,AridStarter,
Desert,Desert Oasis,Elder Barren,
Farr Homeworld,Ice,Irradiated,
LavaNascent,Mire,MoonPolarisTesting,
Odd Temperate Starter,Orbit,Pummeled Desert,
Sandy Barren Moon,Snow,Stormy Desert,
TemperateStarter,TemperateStarter2,Trading Station","A New World (Poster): 1.25-1.5,50-100
A Rest (Poster): 1.5-1.75,300-600
Alien World (Poster): 1.25-1.5,50-100
Biker (Poster): 1.25-1.5,50-100
Don't hide (Poster): 1.25-1.5,50-100
Foreign World (Poster): 1.25-1.5,50-100
Furnishings: 1.0-1.5,80-120
Jump (Poster): 1.25-1.5,50-100
Luxury Goods: 1.0-1.5,200-400
Sole Desert (Poster): 1.25-1.5,50-100
Stone Statues (Deco): 1.25-1.5,240-480
Stranger (Poster): 1.25-1.5,50-100
Survivor (Poster): 1.25-1.5,50-100
Taking A Break (Poster): 1.25-1.5,50-100
Talon (Poster): 1.25-1.5,50-100
Trader (Poster): 1.25-1.5,50-100
Tribal Furnishing: 1.0-1.25,200-300",,,200
Gold Standard Warehouse,Gold Standard Warehouse,"Barren,Barren Moon,Desert,
DesertBurnt,Ice,Irradiated,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Stormy Desert,Swamp,
Temperate","Forcefields: 0.85-1.1,50-100
Furnishings: 1.0-1.25,300-600
Indoor Plants: 1.0-1.25,50-100
Luxury Goods: 1.0-1.25,30-60
Stone Statues (Deco): 1.25-1.5,240-480
Tablet: 1.0-1.25,60-120
Tribal Furnishing: 2.0-2.5,200-300
Zirax Boyband (Poster): 1.5-1.75,50-100","Carbon Composite Blocks (Small): 0.75-1.0,1000-2000
Electronics: 0.5-0.75,900-4800
Glass Plate: 0.5-0.75,420-840
Gold Ingot: 0.95-1.05,100-400
Leather: 1.5-2.0,100-300
Optical Fiber: 0.5-0.75,750-5500
Platinum Ingot: 0.75-1.0,400-1800
Wooden Planks: 0.75-1.0,1000-8500","Filters x40,Heat Exchanger x30
Leather x50,Gold Coins x200
Hacking Software: Overclock
Spare Parts x5,Power Coil x5,Motor x30,Mechanical Components x250
Sandwich x100,Hot Coffee x100,Pumpkin Cookie x100",240
Grimgar's Garden,"Agri-Station,Avalon,Bank of Farr,
Brotherhood Mission,Colony,Excavation Site,
Fire Base,Headquarters,Kenex Station 62,
Main Trade Hub,Settlement,Sigma Outpost,
Trade Center,Trade Station,Trade Station Amethyst,
Trade Station Onyx,Trade Station Pharos,Trade Station Tourmaline,
Trading Station,Trading Station Iota,Village,
Waystation TS05","Alien,Arid,Arid Mesa,
Asteroid Field,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Desert,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld,Farr Homeworld Orbit,Frozen Inferno,
Ice,Irradiated,Jungle,
Jungle Moon,Lava,LavaNascent,
Mire,MoonBarren,MoonDesert,
MoonPolarisTesting,Nascent,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Pummeled Desert,Rocky Desert,Sandy Barren Moon,
Snow,SnowStory,Station,
Stormy Desert,Strange Temperate,Swamp,
Swamp Starter,Temperate,Temperate Moon,
Temperate Rainforest,TemperatePlateau,TemperateStarter,
TemperateStarter2,Trading Station,Tropical,
Varnished Barren Moon,Zirax Defense Checkpoint,ZiraxHomeworld","Ahax Plant - Sprout: 1.0-1.25,20-150
Akua Berry - Sprout: 1.0-1.25,20-150
Akuan Furze - Sprout: 1.0-1.25,20-150
Aloe Vera - Sprout: 1.0-1.25,20-150
Ambersap Tendril - Sprout: 1.0-1.25,20-150
Anaphyllum Maxima - Sprout: 1.0-1.25,20-150
Bellfruit - Sprout: 1.0-1.25,20-150
Blue Pepper Sprout: 1.0-1.25,20-150
Coffee Plant - Sprout: 1.0-1.25,20-150
Corn - Sprout: 1.0-1.25,20-150
Fertilizer: 1.5-2.0,10-50
Firepalm Orange - Sprout: 1.0-1.25,20-150
Hydroponics Lamp: 1.0-1.25,1-20
Hydroponics Unit (Concrete): 1.0-1.25,1-30
Hydroponics Unit (Steel): 1.0-1.25,1-10
Hydroponics Unit (Wood): 1.0-1.25,1-30
Large Eggplant - Sprout: 1.0-1.25,20-150
Mushrooms - Sprout: 1.0-1.25,20-150
Pumpkin - Sprout: 1.0-1.25,20-150
Space Kavae - Sprout: 1.0-1.25,20-150
Spice - Sprout: 1.0-1.25,20-150
Tomato - Sprout: 1.0-1.25,20-150
Wheat - Sprout: 1.0-1.25,20-150","Hydroponics Lamp: 0.5-0.75,5-60
Hydroponics Unit (Concrete): 0.5-0.75,10-80
Hydroponics Unit (Steel): 0.5-0.75,10-50
Hydroponics Unit (Wood): 0.5-0.75,10-80",,120
Grimgar's Garden,"Argent Trade Station,Deluxe Resort,Drydock,
Farm,Frontier Farm,Frontier Outpost,
Habitat,Halcyon Ruins,Offworld Farm,
Polaris Colony,Private Resort,Research Wind,
Settlement,Trading Station,Village","Arid Mesa,Asteroid Field,Farr Homeworld Orbit,
Ice,Orbit,Snow,
SnowStarter,SnowStory,Station,
Trading Station,Tropical,Water,
White Desert","Ahax Plant - Sprout: 1.0-1.25,50-100
Akua Berry - Sprout: 1.0-1.25,50-100
Akuan Furze - Sprout: 1.0-1.25,50-100
Aloe Vera - Sprout: 1.0-1.25,50-100
Ambersap Tendril - Sprout: 1.0-1.25,50-100
Anaphyllum Maxima - Sprout: 1.0-1.25,50-100
Bellfruit - Sprout: 1.0-1.25,50-100
Blue Pepper Sprout: 1.0-1.25,50-100
Coffee Plant - Sprout: 1.0-1.25,50-100
Corn - Sprout: 1.0-1.25,50-100
Fertilizer: 1.5-2.0,50-100
Firepalm Orange - Sprout: 1.0-1.25,50-100
Hydroponics Lamp: 1.0-1.25,50-100
Hydroponics Unit (Concrete): 1.0-1.25,50-100
Hydroponics Unit (Steel): 1.0-1.25,50-100
Hydroponics Unit (Wood): 1.0-1.25,50-100
Large Eggplant - Sprout: 1.0-1.25,50-100
Mushrooms - Sprout: 1.0-1.25,50-100
Phoenix fern frond: 1.0-1.25,50-100
Pumpkin - Sprout: 1.0-1.25,50-100
Space Kavae - Sprout: 1.0-1.25,50-100
Spice - Sprout: 1.0-1.25,50-100
Tomato - Sprout: 1.0-1.25,50-100
Trumpet Greens: 1.0-1.25,50-100
Wheat - Sprout: 1.0-1.25,50-100","Ahax Plant - Sprout: 0.5-0.75,100-500
Akua Berry - Sprout: 0.5-0.75,100-500
Akuan Furze - Sprout: 0.5-0.75,100-500
Aloe Vera - Sprout: 0.5-0.75,100-500
Ambersap Tendril - Sprout: 0.5-0.75,100-500
Anaphyllum Maxima - Sprout: 0.5-0.75,100-500
Bellfruit - Sprout: 0.5-0.75,100-500
Blue Pepper Sprout: 0.5-0.75,100-500
Coffee Plant - Sprout: 0.5-0.75,100-500
Corn - Sprout: 0.5-0.75,100-500
Firepalm Orange - Sprout: 0.5-0.75,100-500
Hydroponics Lamp: 0.5-0.75,100-500
Hydroponics Unit (Concrete): 0.5-0.75,100-500
Hydroponics Unit (Steel): 0.5-0.75,100-500
Hydroponics Unit (Wood): 0.5-0.75,100-500
Large Eggplant - Sprout: 0.5-0.75,100-500
Mushrooms - Sprout: 0.5-0.75,100-500
Phoenix fern frond: 0.5-0.75,100-500
Pumpkin - Sprout: 0.5-0.75,100-500
Space Kavae - Sprout: 0.5-0.75,100-500
Spice - Sprout: 0.5-0.75,100-500
Tomato - Sprout: 0.5-0.75,100-500
Trumpet Greens: 0.5-0.75,100-500
Wheat - Sprout: 0.5-0.75,100-500",,60
Grocer's Grove,"Agri-Station,Agristation,BSI Hydroponics,
Bazarr of Farr,Castle of Farr,Central Trade Station,
Farr Commune,Hanging Garden,Hydroponics,
Kenex Station,Kudos Station,Main Trade Hub,
Outpost Ikora,Settlement,Trade Station Agate,
Trade Station Citrine,Trade Station Lambda,Trade Station Onyx,
Transport Hub,Waystation TS04","Alien,Arid,Arid Mesa,
AridStarter,Asteroid Field,Barren,
Barren Moon,BarrenMetal,Brooding Temperate,
Desert,Desert Oasis,DesertBurnt,
Elder Barren,Farr Homeworld,Farr Homeworld Orbit,
Frozen Inferno,Ice,Irradiated,
Jungle,Jungle Moon,Mire,
MoonBarren,MoonDesert,MoonPolarisTesting,
Nascent,Ocean,Ocean Starter,
Odd Temperate Starter,Orbit,Pummeled Desert,
Rocky Desert,Sandy Barren Moon,Snow,
SnowStory,Station,Stormy Desert,
Strange Temperate,Swamp,Swamp Starter,
Temperate,Temperate Moon,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station,Tropical,Varnished Barren Moon,
Zirax Homeworld Orbit,ZiraxHomeworld","Berries: 1.0-1.25,120-250
Egg: 1.0-1.25,20-150
Fruit: 1.0-1.25,120-250
Grain: 1.0-1.25,120-250
Milk: 1.0-1.25,20-150
Natural Stimulant: 1.0-1.25,120-250
Natural Sweetener: 1.0-1.25,120-250
Purified water: 1.0-1.25,20-500
Roots: 1.0-1.25,120-180
Spice: 1.0-1.25,120-250
Sugarcane: 1.0-1.25,120-250
Vegetables: 1.0-1.25,120-250",,,60
Habitat,"Argent Trade Station,Habitat","Farr Homeworld Orbit,Ice,Orbit,
Station",,"Akua Sparkling Wine: 1.1-1.3,2500-3500
Beer: 1.1-1.3,2500-3500
Canned meat: 1.1-1.3,100-200
Canned vegetables: 1.1-1.3,100-200
Cheeseburger: 1.1-1.3,100-200
Liquors: 1.1-1.3,5000-7500
Luxury Goods: 1.1-1.3,50-100
Veggie burger: 1.1-1.3,100-200
Waffles: 1.1-1.3,100-200",,180
Helios,Helios Hydro Plant,Water,"Fuel Cell: 0.6-0.7,250-500
Hydrogen Bottle: 0.6-0.7,2000-4000
Oxygen Bottle: 0.6-0.7,250-500
Water container: 0.6-0.7,250-500","Water Extractor: 1.3-1.5,5-10",,180
Hostile Apparatus Robotics,"Droid Factory,Hostile Apparatus Robotics,Polaris Asset Production","Arid,Arid Mesa,AridStarter,
Barren Moon,Crusted Lava,Desert,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld,Ice,Irradiated,
Lava,Mire,MoonPolarisTesting,
Odd Temperate Starter,Pummeled Desert,Sandy Barren Moon,
Stormy Desert,Temperate,TemperateStarter,
TemperateStarter2,Varnished Barren Moon","Advanced Upgrade Kit: 1.25-1.5,5-12
Fuel Cell: 1.0-1.25,300-500
Heavy Mechanoid: 1.0-1.25,1-3
Laser Rifle Charge: 1.0-1.25,10-20
Portable Android: 1.0-1.25,5-10
Robotics: 1.0-1.25,100-200
Spare Parts: 1.0-1.25,50-120
Tablet: 1.0-1.25,30-50
Transportation Booster: 1.0-1.25,20-70","Advanced Electronics: 0.75-1.0,80-1600
Cobalt Alloy: 0.75-1.0,400-4800
Energy Regulator: 0.75-1.0,100-900
High-Output Capacitor: 0.75-1.0,70-440
Mechanical Components: 0.75-1.0,4500-9000
Multitool: 0.75-1.0,10-25
Nightvision Goggles: 0.75-1.0,20-40","Graphite x375
Communication Equipment x12
Coolant x16
Cobalt Alloy x50,Advanced Electronics x32,Motor x24,Computer x16
Optronics x4",180
Hydroflux Pumpstation,Hydroflux Pumpstation,"Alien,Arid,BarrenMetal,
Desert,DesertBurnt,Lava,
LavaNascent,Ocean,Snow,
Swamp,Temperate,TemperatePlateau","Coolant: 0.75-1.0,80-150
Hydrogen Bottle: 1.0-1.5,200-400
Oxygen Bottle: 1.25-1.5,240-480
Salt: 0.75-1.0,150-250
Water container: 0.75-1.0,1000-3000","Dual Fuel Cell: 0.5-0.75,250-500
Motor: 0.5-0.75,200-700
Water Extractor: 0.75-1.0,100-250",,400
Ice Trader,Distribution Headquarters,Trading Station,"Ice Chunks: 2.5-3.5,0-500","Deuterium: 0.8-1.1,200-500
Ice Chunks: 0.4-0.5,1000-2000
Terrarite Ice: 0.9-1.1,1500-2500",,180
Ice Trader,Distribution Center,Trading Station,"Ice Chunks: 2.5-3.5,0-500","Cerulian Dust Ice: 0.9-1.1,1500-2500
Deuterium: 0.8-1.1,200-500
Ice Chunks: 0.4-0.5,1000-2000",,180
Ice Trader,Distribution Center,"Trading Station,Zirax Defense Checkpoint","Ice Chunks: 2.5-3.5,0-500","Deuterium: 0.8-1.1,200-500
Ferrite Ice: 0.9-1.1,1500-2500
Ice Chunks: 0.4-0.5,1000-2000",,180
Ice Trader,Distribution Center,Trading Station,"Ice Chunks: 2.5-3.5,0-500","Deuterium: 0.8-1.1,200-500
Hydronite Ice: 0.9-1.1,1500-2500
Ice Chunks: 0.4-0.5,1000-2000",,180
Ice Trader,Distribution Center,Trading Station,"Ice Chunks: 2.5-3.5,0-500","Deuterium: 0.8-1.1,200-500
Ice Chunks: 0.4-0.5,1000-2000
Nitronite Ice: 0.9-1.1,1500-2500",,180
